Ee (keV), d\omega/dEe
84.6,5.26554227250323e-32
84.7,5.26488571940872e-32
84.8,5.26422922979395e-32
84.9,5.26357280376392e-32
85,5.26291644142378e-32
85.1,5.26226014287879e-32
85.2,5.26160390823433e-32
85.3,5.26094773759592e-32
85.4,5.26029163106917e-32
85.5,5.25963558875986e-32
85.6,5.25897961077385e-32
85.7,5.25832369721714e-32
85.8,5.25766784819588e-32
85.9,5.2570120638163e-32
86,5.25635634418478e-32
86.1,5.25570068940782e-32
86.2,5.25504509959205e-32
86.3,5.25438957484422e-32
86.4,5.2537341152712e-32
86.5,5.25307872097999e-32
86.6,5.25242339207771e-32
86.7,5.25176812867162e-32
86.8,5.2511129308691e-32
86.9,5.25045779877764e-32
87,5.24980273250488e-32
87.1,5.24914773215856e-32
87.2,5.24849279784657e-32
87.3,5.24783792967692e-32
87.4,5.24718312775773e-32
87.5,5.24652839219728e-32
87.6,5.24587372310394e-32
87.7,5.24521912058623e-32
87.8,5.24456458475279e-32
87.9,5.24391011571239e-32
88,5.24325571357393e-32
88.1,5.24260137844642e-32
88.2,5.24194711043903e-32
88.3,5.24129290966103e-32
88.4,5.24063877622183e-32
88.5,5.23998471023096e-32
88.6,5.23933071179809e-32
88.7,5.23867678103301e-32
88.8,5.23802291804564e-32
88.9,5.23736912294604e-32
89,5.23671539584438e-32
89.1,5.23606173685098e-32
89.2,5.23540814607626e-32
89.3,5.23475462363081e-32
89.4,5.23410116962531e-32
89.5,5.23344778417059e-32
89.6,5.23279446737762e-32
89.7,5.23214121935748e-32
89.8,5.23148804022138e-32
89.9,5.23083493008068e-32
90,5.23018188904685e-32
90.1,5.22952891723151e-32
90.2,5.22887601474639e-32
90.3,5.22822318170338e-32
90.4,5.22757041821446e-32
90.5,5.22691772439178e-32
90.6,5.2262651003476e-32
90.7,5.22561254619432e-32
90.8,5.22496006204448e-32
90.9,5.22430764801073e-32
91,5.22365530420586e-32
91.1,5.22300303074282e-32
91.2,5.22235082773465e-32
91.3,5.22169869529454e-32
91.4,5.22104663353583e-32
91.5,5.22039464257198e-32
91.6,5.21974272251656e-32
91.7,5.21909087348332e-32
91.8,5.2184390955861e-32
91.9,5.21778738893891e-32
92,5.21713575365586e-32
92.1,5.21648418985122e-32
92.2,5.21583269763938e-32
92.3,5.21518127713488e-32
92.4,5.21452992845237e-32
92.5,5.21387865170665e-32
92.6,5.21322744701266e-32
92.7,5.21257631448547e-32
